State,Establishments,Percentage of Establishments,Percentage of Population,Population and Establishment % Difference,"Establishments Per 10,000",Industry
NSW,4736,34.4,31.09,3.35,1.7,Cafes
VIC,4417,32.1,25.62,6.5,1.59,Cafes
QLD,2181,15.9,20.55,-4.69,0.78,Cafes
WA,1073,7.8,11.07,-3.27,0.39,Cafes
SA,707,5.1,6.87,-1.73,0.25,Cafes
TAS,259,1.9,2.08,-0.2,0.09,Cafes
ACT,313,2.3,1.75,0.52,0.11,Cafes
NT,66,0.5,0.96,-0.48,0.02,Cafes
NSW,5237,31.8,31.09,0.71,1.88,Coffee Shops
VIC,4710,28.6,25.62,2.98,1.69,Coffee Shops
QLD,3047,18.5,20.55,-2.05,1.1,Coffee Shops
WA,1466,8.9,11.07,-2.17,0.53,Coffee Shops
SA,1136,6.9,6.87,0.02,0.41,Coffee Shops
TAS,527,3.2,2.08,1.12,0.19,Coffee Shops
ACT,231,1.4,1.75,-0.35,0.08,Coffee Shops
NT,115,0.7,0.96,-0.26,0.04,Coffee Shops
NSW,233,37.2,31.09,6.13,0.08,Coffee Bean Distributers
VIC,189,30.2,25.62,4.57,0.07,Coffee Bean Distributers
QLD,102,16.3,20.55,-4.26,0.04,Coffee Bean Distributers
WA,51,8.1,11.07,-2.92,0.02,Coffee Bean Distributers
SA,35,5.6,6.87,-1.28,0.01,Coffee Bean Distributers
TAS,8,1.3,2.08,-0.81,0,Coffee Bean Distributers
ACT,5,0.8,1.75,-0.95,0,Coffee Bean Distributers
NT,3,0.5,0.96,-0.48,0,Coffee Bean Distributers
NSW,140,35.8,31.09,4.72,0.05,Tea and Coffee Producers
VIC,105,26.9,25.62,1.23,0.04,Tea and Coffee Producers
QLD,69,17.6,20.55,-2.9,0.02,Tea and Coffee Producers
WA,36,9.2,11.07,-1.86,0.01,Tea and Coffee Producers
SA,24,6.1,6.87,-0.74,0.01,Tea and Coffee Producers
TAS,11,2.8,2.08,0.73,0,Tea and Coffee Producers
ACT,4,1,1.75,-0.73,0,Tea and Coffee Producers
NT,2,0.5,0.96,-0.45,0,Tea and Coffee Producers
