Year,Revenue,Wages,Industry Value Added,Industry
2007-08,5700000000,1416000000,164900000,Cafes
2008-09,5411000000,1345000000,168500000,Cafes
2009-10,5572000000,1326000000,169500000,Cafes
2010-11,5738000000,1461000000,182200000,Cafes
2011-12,6111000000,1577000000,197100000,Cafes
2012-13,6168000000,1600000000,199400000,Cafes
2013-14,6340000000,1642000000,203700000,Cafes
2014-15,6700000000,1747000000,211500000,Cafes
2015-16,7045000000,1838000000,225100000,Cafes
2016-17,7062000000,1840000000,223300000,Cafes
2017-18,7461000000,1948000000,240400000,Cafes
2018-19,7425000000,1924000000,229300000,Cafes
2019-20,6854000000,1813000000,217200000,Cafes
2020-21,6679000000,1696000000,219900000,Cafes
2021-22,7185000000,1820000000,224500000,Cafes
2022-23,7955000000,2003000000,236600000,Cafes
2023-24,8391000000,1994000000,236600000,Cafes
2024-25,8304000000,1950000000,235200000,Cafes
2025-26,8791000000,2087000000,263100000,Cafes
2026-27,9227000000,2148000000,257700000,Cafes
2027-28,9219000000,2299000000,269300000,Cafes
2028-29,9226000000,2384000000,278100000,Cafes
2029-30,9120000000,2350000000,271900000,Cafes
2030-31,9097000000,2421000000,281200000,Cafes
2031-32,9399000000,2572000000,308100000,Cafes
2007-08,4434700000,1096600000,137470000,Coffee Shops
2008-09,4228399999.9999995,1046599999.9999999,139950000,Coffee Shops
2009-10,4478800000,1061400000.0000001,145550000,Coffee Shops
2010-11,4841400000,1227400000,164610000,Coffee Shops
2011-12,5039900000,1291100000,173880000,Coffee Shops
2012-13,4972800000,1284300000,170070000,Coffee Shops
2013-14,5271500000,1358600000,180810000,Coffee Shops
2014-15,5484600000,1424100000,184290000,Coffee Shops
2015-16,5770900000,1499100000,196210000,Coffee Shops
2016-17,5783400000,1502100000,193170000,Coffee Shops
2017-18,6029000000,1567900000,197150000,Coffee Shops
2018-19,5982500000,1545900000,187260000,Coffee Shops
2019-20,5677500000,1495700000,180540000,Coffee Shops
2020-21,5533100000,1400800000,186460000,Coffee Shops
2021-22,5994100000,1520400000,192410000,Coffee Shops
2022-23,6580800000,1650200000,199400000,Coffee Shops
2023-24,6915000000,1789900000,217819999.99999997,Coffee Shops
2024-25,7356600000,1919500000,231730000.00000003,Coffee Shops
2025-26,7078500000,1872300000,216430000.00000003,Coffee Shops
2026-27,6992300000,2008600000,245150000,Coffee Shops
2027-28,7193500000,2060400000,256090000,Coffee Shops
2028-29,7409900000,2140500000,271200000,Coffee Shops
2029-30,7737300000,2309100000,294020000,Coffee Shops
2030-31,7954600000,2368400000,302430000,Coffee Shops
2031-32,7810500000,2323100000,288050000,Coffee Shops
2007-08,1490600000,234300000,29520000,Coffee Bean Distributers
2008-09,1512800000,211200000,27539999.999999996,Coffee Bean Distributers
2009-10,1612600000,215800000,29889999.999999996,Coffee Bean Distributers
2010-11,1680700000,221000000,30210000.000000004,Coffee Bean Distributers
2011-12,1661900000,259000000,33990000,Coffee Bean Distributers
2012-13,1913000000,267899999.99999997,35580000,Coffee Bean Distributers
2013-14,2096600000,247500000,34480000,Coffee Bean Distributers
2014-15,2242600000,254200000,35850000,Coffee Bean Distributers
2015-16,2481600000,276200000,39880000,Coffee Bean Distributers
2016-17,2561700000,273900000,40410000,Coffee Bean Distributers
2017-18,2647200000,294100000,43300000,Coffee Bean Distributers
2018-19,2564000000,290000000,40860000,Coffee Bean Distributers
2019-20,2468200000,286500000,42860000,Coffee Bean Distributers
2020-21,2548600000,275100000,39530000,Coffee Bean Distributers
2021-22,2437300000,273900000,39240000,Coffee Bean Distributers
2022-23,2675800000,310900000,43640000,Coffee Bean Distributers
2023-24,2820100000,323100000,45690000,Coffee Bean Distributers
2024-25,2860800000,339000000,47440000,Coffee Bean Distributers
2025-26,2930500000,336200000,47890000,Coffee Bean Distributers
2026-27,2957300000,342400000,49000000,Coffee Bean Distributers
2027-28,2987000000,353000000,50080000,Coffee Bean Distributers
2028-29,3021100000,367700000,52179999.99999999,Coffee Bean Distributers
2029-30,3068200000,381800000,53470000.00000001,Coffee Bean Distributers
2030-31,3099400000,388400000,55070000.00000001,Coffee Bean Distributers
2007-08,1676200000,171200000,31180000,Tea and Coffee Producers
2008-09,1648300000,170800000,33300000,Tea and Coffee Producers
2009-10,1676500000,159800000,32689999.999999996,Tea and Coffee Producers
2010-11,1784800000,162600000,33550000,Tea and Coffee Producers
2011-12,1767000000,164300000,35520000,Tea and Coffee Producers
